Common Fish Name,CB's Recommended Fish Food,Temperament,Coral Safety,Grows To,Starting Tank Size,Lifespan,Sand Substrate Required,Feeding Difficulty,Feeding Times per Day,Typical Color,Community Suitability,Temperature Range,Salinity Range,Water PH,Water Alkalinity Recommendation,Water Flow Preference,Origin,Scientific Name,QR,SKU
Angel Annularis (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,"Blue-black body with yellow rear, blue ring behind head",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodontoplus septentrionalis (Blue-lined) / Pomacanthus annularis,https://bubba751.github.io/Saltwater-HTML-Files/Angel Annularis (Large).html,AL02
Angel Annularis (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,"Blue-black body with yellow rear, blue ring behind head",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Chaetodontoplus septentrionalis (Blue-lined) / Pomacanthus annularis,https://bubba751.github.io/Saltwater-HTML-Files/Angel Annularis (Medium).html,AL01
Angel Asfur,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,13 Inches,55 Gallon,10-15 Years,No,Easy,2-3,Dark blue/black body with yellow crescent and yellow tail,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,"Red Sea, Western Indian Ocean",Pomacanthus asfur,https://bubba751.github.io/Saltwater-HTML-Files/Angel Asfur.html,AL03
Angel Bi-Color,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,4 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,"Bright yellow front half, deep blue/purple rear half",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge bicolor,https://bubba751.github.io/Saltwater-HTML-Files/Angel Bi-Color.html,AD01
Angel Black,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,10 Inches,55 Gallon,10-15 Years,No,Moderate,2-3,Solid black to charcoal body,Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Genicanthus melanospilos or melanistic form,https://bubba751.github.io/Saltwater-HTML-Files/Angel Black.html,AL04
Angel Blue Face,"Emerald Entree, Marine Cuisine,  Beta Brine",Semi-Aggressive,Not Reef Safe,12 Inches,55 Gallon,10-15 Years,No,Easy,2-3,"Bright blue face, yellow body with blue-outlined scales",Semi-Aggressive Community,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Pomacanthus xanthometopon,https://bubba751.github.io/Saltwater-HTML-Files/Angel Blue Face.html,AL05
Angel Coral Beauty (Large),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Purple-blue body with orange highlights,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge bispinosa,https://bubba751.github.io/Saltwater-HTML-Files/Angel Coral Beauty (Large).html,AD04
Angel Coral Beauty (Medium),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Purple-blue body with orange highlights,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge bispinosa,https://bubba751.github.io/Saltwater-HTML-Files/Angel Coral Beauty (Medium).html,AD03
Angel Coral Beauty (Small),"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,4 Inches,29 Gallon,5-10 Years,No,Easy,2-3,Purple-blue body with orange highlights,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge bispinosa,https://bubba751.github.io/Saltwater-HTML-Files/Angel Coral Beauty (Small).html,AD02
Angel Cream,"Emerald Entree, Marine Cuisine,  Beta Brine",Peaceful,Reef Caution,6 Inches,29 Gallon,5-10 Years,No,Moderate,2-3,Pale cream/white body,Peaceful,76-84°F,1.019-1.025 SG,8.1-8.4,8-12 dKH,Moderate,Indo-Pacific,Centropyge sp. (cream/leucistic morph),https://bubba751.github.io/Saltwater-HTML-Files/Angel Cream.html,AL06
